employee_id,experience_years,test_score,education_level,department,location,salary_etb
1,1.2,72,Bachelor,Engineering,Addis Ababa,480000
2,2.5,85,Bachelor,IT,Addis Ababa,520000
3,0.8,68,Bachelor,Engineering,Bahir Dar,420000
4,3.1,78,Master,Data Science,Addis Ababa,680000
5,1.8,74,Bachelor,Software,Addis Ababa,510000
6,4.2,88,Master,Engineering,Addis Ababa,750000
7,0.5,65,Bachelor,IT,Dire Dawa,380000
8,2.8,82,Bachelor,Software,Addis Ababa,580000
9,5.1,91,Master,Data Science,Addis Ababa,920000
10,1.5,70,Bachelor,Engineering,Mekelle,450000
11,3.8,86,Master,IT,Addis Ababa,720000
12,0.9,69,Bachelor,Software,Addis Ababa,460000
13,6.2,94,PhD,Data Science,Addis Ababa,1200000
14,2.1,76,Bachelor,Engineering,Bahir Dar,540000
15,4.5,89,Master,Software,Addis Ababa,820000
16,1.1,71,Bachelor,IT,Addis Ababa,490000
17,3.5,84,Master,Engineering,Addis Ababa,710000
18,0.7,66,Bachelor,Software,Hawassa,400000
19,7.8,96,PhD,Data Science,Addis Ababa,1350000
20,2.3,79,Bachelor,IT,Addis Ababa,560000
21,4.8,90,Master,Engineering,Addis Ababa,850000
22,1.4,73,Bachelor,Software,Addis Ababa,500000
23,5.5,92,Master,Data Science,Addis Ababa,980000
24,0.6,64,Bachelor,IT,Jimma,370000
25,3.2,81,Bachelor,Engineering,Addis Ababa,620000
26,8.1,97,PhD,Software,Addis Ababa,1400000
27,2.7,80,Bachelor,Data Science,Addis Ababa,590000
28,4.1,87,Master,IT,Addis Ababa,780000
29,1.3,72,Bachelor,Engineering,Gondar,470000
30,6.5,93,Master,Software,Addis Ababa,1100000
31,0.4,63,Bachelor,IT,Adama,360000
32,3.9,85,Master,Data Science,Addis Ababa,760000
33,2.6,78,Bachelor,Engineering,Addis Ababa,570000
34,5.8,91,Master,Software,Addis Ababa,1050000
35,1.7,75,Bachelor,IT,Addis Ababa,520000
36,4.3,88,Master,Engineering,Addis Ababa,810000
37,0.8,67,Bachelor,Data Science,Dessie,410000
38,7.2,95,PhD,IT,Addis Ababa,1280000
39,2.4,77,Bachelor,Software,Addis Ababa,550000
40,3.7,83,Bachelor,Engineering,Addis Ababa,650000
41,1.6,74,Bachelor,Data Science,Addis Ababa,530000
42,5.2,90,Master,IT,Addis Ababa,940000
43,0.9,68,Bachelor,Software,Bahir Dar,440000
44,4.6,89,Master,Engineering,Addis Ababa,870000
45,2.9,81,Bachelor,Data Science,Addis Ababa,600000
46,6.8,94,Master,Software,Addis Ababa,1150000
47,1.0,70,Bachelor,IT,Addis Ababa,480000
48,3.4,82,Bachelor,Engineering,Addis Ababa,640000
49,8.5,98,PhD,Data Science,Addis Ababa,1450000
50,2.2,76,Bachelor,Software,Addis Ababa,540000
51,4.9,88,Master,IT,Addis Ababa,890000
52,1.8,73,Bachelor,Engineering,Mekelle,510000
53,5.6,92,Master,Data Science,Addis Ababa,1020000
54,0.7,65,Bachelor,Software,Hawassa,390000
55,3.6,84,Bachelor,IT,Addis Ababa,660000
56,7.5,96,PhD,Engineering,Addis Ababa,1320000
57,2.5,79,Bachelor,Data Science,Addis Ababa,580000
58,4.4,87,Master,Software,Addis Ababa,840000
59,1.2,71,Bachelor,IT,Dire Dawa,470000
60,6.1,93,Master,Engineering,Addis Ababa,1080000
61,0.5,64,Bachelor,Data Science,Jimma,350000
62,3.8,85,Bachelor,Software,Addis Ababa,670000
63,2.8,80,Bachelor,IT,Addis Ababa,590000
64,5.3,91,Master,Engineering,Addis Ababa,960000
65,1.5,74,Bachelor,Data Science,Addis Ababa,520000
66,4.7,89,Master,Software,Addis Ababa,880000
67,0.9,68,Bachelor,IT,Gondar,430000
68,7.9,97,PhD,Engineering,Addis Ababa,1380000
69,2.6,78,Bachelor,Data Science,Addis Ababa,570000
70,3.3,83,Bachelor,Software,Addis Ababa,630000
71,1.4,72,Bachelor,IT,Addis Ababa,500000
72,5.9,92,Master,Engineering,Addis Ababa,1070000
73,0.6,66,Bachelor,Data Science,Adama,380000
74,4.2,86,Master,Software,Addis Ababa,800000
75,2.7,79,Bachelor,IT,Addis Ababa,580000
76,6.4,94,Master,Engineering,Addis Ababa,1130000
77,1.1,70,Bachelor,Data Science,Dessie,460000
78,3.9,84,Bachelor,Software,Addis Ababa,680000
79,8.2,98,PhD,IT,Addis Ababa,1420000
80,2.3,77,Bachelor,Engineering,Addis Ababa,550000
81,4.8,88,Master,Data Science,Addis Ababa,870000
82,1.7,75,Bachelor,Software,Bahir Dar,530000
83,5.4,91,Master,IT,Addis Ababa,980000
84,0.8,67,Bachelor,Engineering,Hawassa,420000
85,3.5,82,Bachelor,Data Science,Addis Ababa,650000
86,7.1,95,PhD,Software,Addis Ababa,1300000
87,2.4,78,Bachelor,IT,Addis Ababa,560000
88,4.6,87,Master,Engineering,Addis Ababa,860000
89,1.3,73,Bachelor,Data Science,Mekelle,490000
90,6.7,93,Master,Software,Addis Ababa,1140000
91,0.4,63,Bachelor,IT,Jimma,340000
92,3.7,83,Bachelor,Engineering,Addis Ababa,660000
93,2.9,80,Bachelor,Data Science,Addis Ababa,600000
94,5.7,92,Master,Software,Addis Ababa,1040000
95,1.6,74,Bachelor,IT,Dire Dawa,520000
96,4.3,86,Master,Engineering,Addis Ababa,820000
97,0.7,65,Bachelor,Data Science,Gondar,400000
98,8.6,99,PhD,Software,Addis Ababa,1480000
99,2.1,76,Bachelor,IT,Addis Ababa,540000
100,3.4,81,Bachelor,Engineering,Addis Ababa,640000
101,1.9,75,Bachelor,Data Science,Addis Ababa,540000
102,5.1,90,Master,Software,Addis Ababa,930000
103,0.9,68,Bachelor,IT,Adama,440000
104,4.5,88,Master,Engineering,Addis Ababa,850000
105,2.8,79,Bachelor,Data Science,Addis Ababa,590000
106,6.2,94,Master,Software,Addis Ababa,1110000
107,1.0,69,Bachelor,IT,Dessie,470000
108,3.6,82,Bachelor,Engineering,Addis Ababa,650000
109,7.8,96,PhD,Data Science,Addis Ababa,1360000
110,2.5,77,Bachelor,Software,Addis Ababa,570000
111,4.9,89,Master,IT,Addis Ababa,900000
112,1.4,72,Bachelor,Engineering,Hawassa,500000
113,5.8,91,Master,Data Science,Addis Ababa,1060000
114,0.6,64,Bachelor,Software,Bahir Dar,370000
115,3.8,84,Bachelor,IT,Addis Ababa,670000
116,8.3,97,PhD,Engineering,Addis Ababa,1430000
117,2.7,78,Bachelor,Data Science,Addis Ababa,580000
118,4.4,87,Master,Software,Addis Ababa,840000
119,1.5,73,Bachelor,IT,Mekelle,510000
120,6.5,93,Master,Engineering,Addis Ababa,1150000
121,0.8,66,Bachelor,Data Science,Jimma,410000
122,3.2,81,Bachelor,Software,Addis Ababa,620000
123,2.6,79,Bachelor,IT,Addis Ababa,570000
124,5.5,92,Master,Engineering,Addis Ababa,1000000
125,1.7,74,Bachelor,Data Science,Dire Dawa,530000
126,4.7,88,Master,Software,Addis Ababa,880000
127,0.5,65,Bachelor,IT,Gondar,360000
128,7.4,95,PhD,Engineering,Addis Ababa,1310000
129,2.3,77,Bachelor,Data Science,Addis Ababa,560000
130,3.9,83,Bachelor,Software,Addis Ababa,680000
131,1.2,71,Bachelor,IT,Adama,480000
132,6.0,93,Master,Engineering,Addis Ababa,1090000
133,0.7,67,Bachelor,Data Science,Dessie,390000
134,4.1,85,Master,Software,Addis Ababa,790000
135,2.4,78,Bachelor,IT,Addis Ababa,560000
136,5.2,90,Master,Engineering,Addis Ababa,950000
137,1.6,75,Bachelor,Data Science,Hawassa,520000
138,3.5,82,Bachelor,Software,Addis Ababa,650000
139,8.7,98,PhD,IT,Addis Ababa,1460000
140,2.8,79,Bachelor,Engineering,Addis Ababa,590000
141,4.6,87,Master,Data Science,Addis Ababa,860000
142,1.3,72,Bachelor,Software,Bahir Dar,490000
143,5.9,92,Master,IT,Addis Ababa,1070000
144,0.4,63,Bachelor,Engineering,Mekelle,350000
145,3.7,83,Bachelor,Data Science,Addis Ababa,660000
146,7.6,96,PhD,Software,Addis Ababa,1340000
147,2.2,76,Bachelor,IT,Addis Ababa,550000
148,4.8,88,Master,Engineering,Addis Ababa,890000
149,1.8,74,Bachelor,Data Science,Jimma,530000
150,6.3,94,Master,Software,Addis Ababa,1120000
151,0.9,68,Bachelor,IT,Dire Dawa,440000
152,3.4,81,Bachelor,Engineering,Addis Ababa,640000
153,2.9,80,Bachelor,Data Science,Addis Ababa,600000
154,5.6,91,Master,Software,Addis Ababa,1030000
155,1.1,70,Bachelor,IT,Gondar,470000
156,4.3,86,Master,Engineering,Addis Ababa,820000
157,0.6,64,Bachelor,Data Science,Adama,380000
158,8.1,97,PhD,Software,Addis Ababa,1410000
159,2.5,78,Bachelor,IT,Addis Ababa,570000
160,3.6,82,Bachelor,Engineering,Addis Ababa,650000
161,1.4,73,Bachelor,Data Science,Dessie,500000
162,5.3,90,Master,Software,Addis Ababa,970000
163,0.8,67,Bachelor,IT,Hawassa,420000
164,4.2,85,Master,Engineering,Addis Ababa,800000
165,2.7,79,Bachelor,Data Science,Addis Ababa,580000
166,6.8,94,Master,Software,Addis Ababa,1160000
167,1.5,74,Bachelor,IT,Bahir Dar,510000
168,3.8,83,Bachelor,Engineering,Addis Ababa,670000
169,7.9,96,PhD,Data Science,Addis Ababa,1370000
170,2.1,77,Bachelor,Software,Addis Ababa,540000
171,4.9,89,Master,IT,Addis Ababa,900000
172,1.7,75,Bachelor,Engineering,Mekelle,530000
173,5.4,91,Master,Data Science,Addis Ababa,990000
174,0.5,65,Bachelor,Software,Jimma,370000
175,3.3,81,Bachelor,IT,Addis Ababa,630000
176,8.4,98,PhD,Engineering,Addis Ababa,1440000
177,2.6,78,Bachelor,Data Science,Addis Ababa,570000
178,4.5,87,Master,Software,Addis Ababa,850000
179,1.0,69,Bachelor,IT,Dire Dawa,460000
180,6.1,93,Master,Engineering,Addis Ababa,1100000
181,0.7,66,Bachelor,Data Science,Gondar,400000
182,3.9,84,Bachelor,Software,Addis Ababa,680000
183,2.8,80,Bachelor,IT,Adama,590000
184,5.7,92,Master,Engineering,Addis Ababa,1050000
185,1.6,74,Bachelor,Data Science,Dessie,520000
186,4.4,86,Master,Software,Addis Ababa,830000
187,0.9,68,Bachelor,IT,Hawassa,440000
188,7.2,95,PhD,Engineering,Addis Ababa,1290000
189,2.4,77,Bachelor,Data Science,Addis Ababa,560000
190,3.5,82,Bachelor,Software,Addis Ababa,650000
191,1.3,72,Bachelor,IT,Bahir Dar,490000
192,6.6,94,Master,Engineering,Addis Ababa,1140000
193,0.6,64,Bachelor,Data Science,Mekelle,380000
194,4.1,85,Master,Software,Addis Ababa,790000
195,2.9,79,Bachelor,IT,Addis Ababa,600000
196,5.8,91,Master,Engineering,Addis Ababa,1060000
197,1.8,75,Bachelor,Data Science,Jimma,540000
198,3.7,83,Bachelor,Software,Addis Ababa,660000
199,8.8,99,PhD,IT,Addis Ababa,1490000
200,2.2,76,Bachelor,Engineering,Addis Ababa,550000